"Key","Texto","NomeGDT","Quem","Onde","Quando","TipoDeliberacao","DeliberacaoFinal","EmailResponsaveis","NomeAutores","NomeEvento","TituloEvento","Ano","Mes"
45,"Que a CENAPET, após aprovação na assembleia do VII ECOPET, encaminhe a seguinte carta aberta ao Ministério da Educação, Ministério Público e ao Supremo Tribunal Federal: Ao atual Ministro da Educação, Milton Ribeiro, Nós, estudantes bolsistas e não bolsistas, Tutoras e Tutores do Programa de Educação Tutorial – PET, como resultado do Grupo de Discussão e Trabalho (GDT) sobre Diversidade e Direitos Humanos I: LGBTQI+ e Gênero, vimos a público repudiar a fala concedida ao jornal O Estado de S.Paulo: “o adolescente que muitas vezes opta por andar no caminho do homossexualismo [termo considerado preconceituoso]' vêm, algumas vezes, de 'famílias desajustadas'”. Essas afirmações não vão ao encontro às concepções científicas vigentes, as quais classificam a homossexualidade como condição da diversidade. Além disso, para a fala de um representante público da área de educação, faltam apontamentos científicos. Além de soar bastante ofensivo, especialmente para aqueles que vivem diariamente as chagas do preconceito e da discriminação, a fala autorizada do ministro, indiretamente, contribui para episódios de violência e exclusão, tornando a sociedade cada vez menos inclusiva e, por consequência, mais insegura. Além disso, o ministro, o qual se denomina, além de tudo, pastor, faz, dessa forma, um discurso contrário à vida, uma vez que constrói a imagem de soberanias, ao tipificar estruturas familiares, declarando, pois, haver modelos válidos e outros não. Afinal, o que seriam famílias desajustadas? Famílias que apresentam conflitos? Famílias que possuem perdas? Então, quais famílias não seriam assim? Todas as famílias não são, de fato, desajustadas? Por essa lógica, todos deveriam se declarar homossexuais? Entendemos que há um descompasso nessa fala. Com certeza, ela representa grupos sociais que tentam marcar a eugenia social. Não podemos endossar esse fato. É necessário destrinchar o discurso, revelando os equívocos propagados.",GDT PET e Diversidade e Direitos Humanos I:,Diretoria da CENAPET,"",Após aprovação na assembleia do VII ECOPET,Carta,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
46,"Que a CENAPET, após aprovação na assembleia do VII ECOPET, encaminhe a seguinte moção ao Ministério da Educação, Ministério Público e ao Supremo Tribunal Federal: Que o Ministro da Educação e o Presidente da República respeitem as decisões das comunidades acadêmicas após as consultas para a Reitoria, publicando a nomeação da primeira colocação nas eleições, respeitando a autonomia universitária.",GDT PET e Diversidade e Direitos Humanos I:,Diretoria da CENAPET,"",Após aprovação na assembleia do VII ECOPET,Moção,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
47,"Que os grupos PET, a partir de 2021, se articulem, ao menos uma vez por ano, sistematicamente, com outros grupos PET, núcleos, coletivos, projetos de extensão e demais iniciativas já presentes nas suas respectivas IES que mobilizam temáticas LGBTQIAP+ a fim de criarem redes de fortalecimento da comunidade LGBTQIAP+, promovendo rodas de conversa, eventos, espaços para denúncia de violências e campanhas contra a discriminação por sexualidade e/ou identidade de gênero, em concordância com a redação da Portaria MEC nº 976, de 27 de julho de 2010, Art.2º, inciso VIII, dada pela Portaria MEC nº 343, de 24 de abril de 2013, na qual se lê que é objetivo dos grupos PET contribuir com a política de diversidade na instituição de ensino superior por meio de ações afirmativas em defesa da equidade socioeconômica, étnico-racial e de gênero.",GDT PET e Diversidade e Direitos Humanos I:,Grupos PET,"",A partir de 2021,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
48,"Que os grupos PET da região Centro-Oeste articulem entre si, a partir de 2021, até o prazo máximo de um ano, o planejamento e realização de atividades, eventos e festivais em conjunto, tendo como enfoque a valorização da diversidade e emancipação da comunidade LGBTQIAP+, em concordância com a redação da Portaria MEC nº 976, de 27 de julho de 2010, Art.2º, inciso VIII, dada pela Portaria MEC nº 343, de 24 de abril de 2013, na qual se lê que é objetivo dos grupos PET contribuir com a política de diversidade na instituição de ensino superior por meio de ações afirmativas em defesa da equidade socioeconômica, étnico-racial e de gênero.",GDT PET e Diversidade e Direitos Humanos I:,Grupos PET,"",A partir de 2021 até o prazo máximo de 1 ano,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
49,"Que após a assembleia do VII ECOPET, a CENAPET solicite ao MEC a flexibilização das rubricas para o uso da verba do custeio, visto que essa é muito pequena para se enquadrar nas despesas gigantescas do serviço público federal. Sugeriríamos que as rubricas fossem feitas simplificadas como eram até 2013, quando o programa PET era gerenciado pela CAPES, considerando, por exemplo, o alimento como objeto de estudo e trabalho como para os cursos de Engenharia de Alimentos e Nutrição.",GDT PET e Financiamento,Diretoria da CENAPET,"",após aprovação na assembleia do VII ECOPET,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
50,"Que após a assembleia do VII ECOPET, a CENAPET solicite ao Ministério da Educação que o custeio dos grupos PET seja liberado o mais cedo possível a cada ano civil, de preferência até o início do mês de março (custeio para o primeiro semestre) e até o início de agosto (custeio para o segundo semestre), a fim de possibilitar uma melhor organização dos tutores e dos discentes.",Encontro CLAA,Diretoria da CENAPET,"",após aprovação na assembleia do VII ECOPET,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
51,"Que, após a assembleia do VII ECOPET, a CENAPET solicite ao MEC a liberação do custeio de 2020 e a ampliação dos prazos para seu uso, considerando que já estamos nos encaminhando para o final do período de 2020, especificamente no mês de outubro, e os grupos precisam se organizar para a utilização desse recurso, tendo em vista a situação atual de pandemia no Brasil.",Encontro CLAA,Diretoria da CENAPET,"",após aprovação na assembleia do VII ECOPET,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
52,"Que, após a assembleia do XXV ENAPET, a CENAPET solicite ao MEC o uso da verba de custeio para utilização ainda em 2020 ou, no máximo, primeiro semestre de 2021, para a aquisição de equipamentos e ferramentas que facilitem a atuação remota do grupo, como tablets, laptops, desktops, câmeras, microfones, fones de ouvido, chips para acesso à internet e softwares de trabalho remoto.",Encontro CLAA,Diretoria da CENAPET,"",Após a assembleia do XXV ENAPET,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
53,"Que, após aprovação na assembleia do VII ECOPET, a CENAPET cobre do MEC, no que tange ao custeio, diminuir a burocracia para o acesso ao recurso do grupo, e que seja garantido que esse recurso chegue aos grupos PET com prazos maiores para compra e justificativa do seu uso. Além disso, deve-se solicitar a flexibilização das possibilidades de investimento do recurso em demandas específicas que tenham surgido durante a pandemia de COVID-19, principalmente aquelas voltadas para as Tecnologias da Informação e Comunicação.",Encontro Docentes,Diretoria da CENAPET,"",após aprovação na assembleia do VII ECOPET,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
54,"Que, após a assembleia do VII ECOPET, a CENAPET solicite que o Ministério da Educação promova ao menos uma reunião semestral com a Diretoria da CENAPET.",Encontro Docentes,Diretoria da CENAPET,"",após aprovação na assembleia do VII ECOPET,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
55,"Que a CENAPET solicite um calendário de reuniões semestrais com o MEC pelas plataformas online, a partir do primeiro semestre de 2021, com a intenção de aumentar a comunicação e, consequentemente, promover discussão com intuito de melhorias para os grupos PET, bem como atualização de assuntos relacionados a bolsa e custeio.",GDT PET e Situações de Crise,Diretoria da CENAPET,"",A partir do 1 semestre de 2021,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
56,"Que a CENAPET, após aprovação na Assembleia Geral no VII ECOPET, possa propor um documento informativo com sugestões e recomendações de como organizar atividades remotas, para que os grupos PET possam continuar com as suas atividades em futuras situações de crise em que não há a possibilidade de realizar atividades presenciais. O documento pode ser divulgado e discutido em reuniões do InterPET e do CLAA, bem como divulgado em redes sociais e listas de e-mails dos Petianos das IES.",GDT PET e Situações de Crise,Diretoria da CENAPET,"",após aprovação na assembleia do VII ECOPET,Sugestão,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
57,"Que após a aprovação na assembleia do XXV ENAPET, a CENAPET solicite ao MEC a flexibilização do questionário dos tutores para homologação de bolsas e da aplicação das regulamentações referentes à exclusão de membros dos grupos PET enquanto durar o ensino remoto e a pandemia da COVID-19",Encontro Docentes,Diretoria da CENAPET,"",Após assembleia do XXV ENAPET,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
58,"Que os grupos PET Centro-Oeste realizem seus planejamentos de 2021 seguindo a forma remota de atuação do grupo, mas desenvolvendo atividades que estejam suscetíveis a adaptações, ou seja, que possam ser realizadas de forma presencial ou remota.",GDT PET e Situações de Crise,Grupos PET,"","",Sugestão,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
59,"Que a diretoria da CENAPET solicite, via ofício ao MEC, a recomposição da Comissão Nacional de Avaliação, para apresentação e aprovação do instrumento de avaliação dos grupos PET até o primeiro semestre de 2021, reafirmando a deliberação da Assembleia do XXIV ENAPET.",GDT PET e Avaliação,Diretoria da CENAPET,"",até o primeiro semestre de 2021,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
60,"Que depois de eleitos na assembleia do VII ECOPET, os representantes de cada IES que irão compor a Comissão Regional do Mobiliza PET tenham como função o incentivo e coordenação do estabelecimento dos Comitês Locais do Mobiliza PET nas suas respectivas IES.",GDT PET e Mobiliza,Mobiliza PET,"",Após assembleia do VII ECOPET,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
61,"Sugere-se que cada grupo PET tenha um(a) ou mais membros responsáveis por compor o comitê local de mobilização do mobiliza PET, a fim de facilitar a disseminação de informações",GDT PET e Mobiliza,Grupos PET,"","",Sugestão,"","","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
62,"Sugere-se que os Comitês Locais tenham como prioridade, após seu estabelecimento, a divulgação e fortalecimento das campanhas do Mobiliza PET para os grupos em suas respectivas IES.",GDT PET e Mobiliza,Mobiliza PET,"","",Sugestão,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
63,"Que os grupos PETs desenvolvam ações em parcerias com os Núcleos de Agroecologia (NEAs) e Centros Vocacionais Tecnológicos (CVTs) no sentido do aprofundamento da transição agroecológica, e fortalecimento da presença das Universidades na promoção da Agroecologia a partir de janeiro de 2021.",GDT PET e Desenvolvimento Sustentável,Grupos PET,"",A partir de janeiro de 2021,Sugestão,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
64,"Que a CENAPET encaminhe para os CLAAs das IES a sugestão de revisão no registro de reprovações, de modo que exclua do histórico escolar a disciplina com reprovação quando refeita com a obtenção da aprovação.",GDT PET e Legislação,Diretoria da CENAPET,"","",Sugestão,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
65,"Texto Original: Que após a aprovação na assembleia do VII ECOPET, os CLAAs incentivem os programas de pós-graduação das IES a pontuarem as atividades desenvolvidas pelos PETianos , da mesma forma que já existem pontuações para PIBIC e PIBID em determinadas IES",GDT PET e Universidade,CLAA,"",Após aprovação na assembleia do VII ECOPET,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
66,"Que as comissões organizadoras de eventos regionais e nacionais do PET compilem, ao final dos eventos, a partir da Ata Oficial, os encaminhamentos de acordo com a instância para a qual eles devem ser destinados, dividindo-os em: I - Os que forem destinados para a Diretoria da CENAPET; II - Os que forem destinados para o Conselho da CENAPET; III - Os que forem destinados para o Mobiliza PET; IV - Os que forem destinados para o CLAA; V - Entre outros.",GDT PET Diversidade e Direitos Humanos I,Comissão organizadora de eventos PET,"",Ao final dos eventos,Encaminhamento,Aprovado,"","",ECOPET,"VII Encontro Centro-Oeste do Programa de Educação Tutorial- PET em Defesa dos Direitos Sociais: por uma educação pública, laica, gratuita e de qualidade",2020,Outubro
67,"Que a diretoria da CENAPET organize a realização de encontros bimestrais, no modelo remoto com as Regiões",Encontro de Discentes,Diretoria da CENAPET,On-line,Bimestralmente,Encaminhamento,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
68,"Que a diretoria da CENAPET crie uma comissão nacional com representantes de todas as regiões do Brasil para o monitoramento dos atrasos, revogações e não empenho bancário das bolsas do Programa de Educação Tutorial.",Encontro de Discentes,Diretoria da CENAPET,Não indicado,Não indicado,Encaminhamento,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
69,Que o próximo NortePET realize um teste com todos os PETianos na mesma plataforma para maior inclusão.,Encontro de Discentes,Comissão organizadora de eventos PET,On-line,"2021",Encaminhamento,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
70,Ampliar espaços de diálogos entre os grupos existentes nas IES e entre os grupos das regiões para que assim crie-se fortalecimento para a realização das atividades estaduais e os próprios InterPETs,Encontro de Discentes,Grupos PET,IES,Não indicado,Sugestão,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
71,Que os grupos PET promovam projetos em conjunto com os demais grupos da IES como forma de intensificar os encontros estaduais e os InterPETs.,Encontro de Discentes,Grupos PET,Dentro de cada IES,Não indicado,Sugestão,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
72,Que os grupos PET realizassem parcerias com outras Instituições privadas para arrecadação de recursos com fins de custear os InterPETs.,Encontro de Discentes,Grupos PET,Não indicado,Não indicado,Sugestão,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
73,"Para intensificar os encontros, que os grupos busquem conseguir recursos com a própria Instituição.",Encontro de Discentes,Grupos PET,Dentro de cada IES,Não indicado,Sugestão,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
74,Sugiro explorar os encontros virtuais para superar estas dificuldades de deslocamento em tempos de COVID.,Encontro de Discentes,Não indicado,Não indicado,Não indicado,Sugestão,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
75,"Sugiro que os PETs busquem se unir com outras Instituições, como Empresas Jrs, elaborando projetos que possam angariar apoio que gerem a possibilidade de suprir os custos.",Encontro de Discentes,Grupos PET,Dentro de cada IES,Não indicado,Sugestão,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
76,"Debates e encontros mensais podem ficar salvos no YouTube para quem ficar sem internet no momento ou para reafirmar aquilo em que ficaram em dúvida, pois em alguns municípios ficamos sem internet por uns dias, mesmo tendo todos os recursos necessários.",Encontro de Discentes,Não indicado,On-line,Mensalmente,Sugestão,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
77,Deveria ter pelo menos um encontro por ano dos PETs da mesma Instituição e desse modo seria mais fácil a organização de evento com PETs de outros Estados.,Encontro de Discentes,Grupos PET,"",Anualmente,Sugestão,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
78,"Que mesmo que ocorra nos próximos anos encontros PET, como ENAPET ou InterPET, seria interessante os encontros serem transmitidos ao vivo também para que atinja um público maior",Encontro de Discentes,Comissão organizadora de eventos PET,On-line,"",Sugestão,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
79,Criar uma revista online do PET NORTE.,Encontro de Tutores,Não indicado,Não indicado,Não indicado,Encaminhamento,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
80,Criar uma comissão permanente como observatório das ações dos PET para fins de alinhamento e divulgação.,Encontro de Tutores,Não indicado,Não indicado,Não indicado,Encaminhamento,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
81,Fortalecer a rede de relacionamentos dos grupos PET da região Norte via sites de relacionamentos para troca de informações e interação.,Encontro de Tutores,Não indicado,Não indicado,Não indicado,Encaminhamento,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
82,Criar uma forma de comunicação em que os grupos possam descrever as dificuldades enfrentadas em tempos de pandemia;,Encontro de Tutores,Não indicado,Não indicado,Não indicado,Encaminhamento,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
83,"Elaborar carta dos PETs da região Norte, direcionada à CENAPET, de posicionamento em relação à manutenção de atividades, buscando flexibilização das cargas horárias e das atividades e medidas para evitar atraso nas bolsas, pois implica um desequilíbrio emocional para os PETianos;",Encontro de Tutores,Grupos PET,Não indicado,Não indicado,Encaminhamento,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
84,Propor que os grupos do Norte mantenham interação entre si através de lives no ambiente digital. Convidando os petianos de diferentes grupos para explorarem seus conhecimentos ao vivo. Quem: iniciativa de cada grupo. Onde: online. Quando: uma vez por mês.,GDT-1 - Atividades no PET como meio de Ressocialização,Grupos PET,On-line,Mensalmente,Encaminhamento,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
85,"Integração entre PET de IES diferentes para ações em comum para conhecer a realidade, por meio das ferramentas online.",GDT-1 - Atividades no PET como meio de Ressocialização,Grupos PET,"",Não indicado,Sugestão,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
86,"Os grupos pets criar uma revista coletiva para a região Norte, como meio de registrar as atividades integradoras entre os grupos que existe na região Norte. Ou se a comissão não produzir os anais, a revista Arigó pode fazer uma edição especial para publicar os trabalhos.",GDT-1 - Atividades no PET como meio de Ressocialização,Grupos PET,Região Norte,Não indicado,Sugestão,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
87,"Instância acima do CLAA realizar uma preparação melhor dentro das universidades (como se fosse um treinamento) com os servidores que possuem cadeiras dentro do CLAA para orientá-los sobre quais suas funções, sobre a importância de suas participações, e até mesmo para informar eles de que possuem essas cadeiras. Pode ser feito online, pelo Google Meet, 1 encontro a cada 6 meses.",GDT-2 Identidade Petiana,Instância acima do CLAA,On-line,Semestralmente,Encaminhamento,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
88,"Que os representantes do CLAA de cada IES da região Norte sejam mais ativos às demandas do Programa não só em relação à Avaliação, mas principalmente em relação à Acompanhamento (ouvir e acompanhar demandas dos discentes, ouvir e acompanhar demandas dos docentes, que todos os participantes do CLAA façam imersão em conhecimento sobre o Programa de Educação Tutorial), executando de forma mensal as reuniões que devem abordar demandas pertinentes e emitir parecer público quanto ao andamento dos trabalhos para melhorar e fortalecer a comunicação interna entre CLAA e grupos PET das IES.",GDT-2- Identidade Petiana,Representantes do CLAA,Dentro de cada IES,Mensalmente,Encaminhamento,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
89,Que a diretoria da CENAPET envie um ofício a SESu/MEC solicitando regulamentação para implementação da política de cotas nos processos de seleção de bolsistas dos grupos do Programa de Educação Tutorial.,GDT-2 - Identidade Petiana,Diretoria da CENAPET,Não indicado,Não indicado,Encaminhamento,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
90,Que a Diretoria da CENAPET envie um ofício à SESu/MEC solicitando a regulamentação no SIGPET para inclusão de nome social e respeito à identidade trans após realização do VII NORTEPET;,GDT-2 - Identidade Petiana,Diretoria da CENAPET,Não indicado,Não indicado,Encaminhamento,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
91,"Que os grupos PET da região Norte incentivem nos seus regimentos internos a inclusão de pessoas diversas (étnico racial, socioeconômica e de gênero) trazendo em seus escopos de atividades que englobam discussão sobre gênero, sexualidade, e demais pluralidades a partir do VII NORTEPET.",GDT-2 - Identidade Petiana,Grupos PET,Região Norte,Não indicado,Encaminhamento,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
92,"As atividades do PET devem ser expostas nas redes sociais, já que hoje me dia o acesso à informação é feito dessa forma. Além das atividades do PET, acho interessante também expor sobre assuntos do próprio curso em questão.",GDT-2 - Identidade Petiana,Grupos PET,Não indicado,Não indicado,Sugestão,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
93,Incentivo a outros PETs que sejam formados por pessoas plurais e que incentivem principalmente a educação pública - exemplo: PET Biologia da UFAM realiza recepção dos calouros e PET Cursinho preparatório para ENEM para alunos de escola pública.,GDT-2 - Identidade Petiana,Grupos PET,"",Não indicado,Sugestão,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
94,"Instituir no regulamento dos Grupos PETs o incentivo a respeito a diversas identidades e interesse em trazer mais pautas relacionadas a gênero, sexualidade, etnias, etc. No PET Biologia UFAM temos isso no nosso regulamento, realizamos rodas de conversa (PET Talks), oficinas e no geral há uma recepção muito grande a essas pluralidades.",GDT-2 - Identidade Petiana,Grupos PET,"",Não indicado,Sugestão,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
95,Problemas enfrentados com o custeio que pode ser comprado ou não para os Grupo PET.,GDT-3 - Mecanismos financeiros de sustentação do PET,Não indicado,Não indicado,Não indicado,Sugestão,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
96,"Criação de editais pela CENAPET para atender à necessidade dos Grupo PET com custeio de pesquisas, viagem para apresentação de trabalhos, etc.",GDT-3 - Mecanismos financeiros de sustentação do PET,Diretoria da CENAPET,Não indicado,Não indicado,Sugestão,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
97,"O Grupo PET (discentes e tutor) em contato com outros departamentos da universidade, realizassem, ao início do semestre ou em programação planejada, palestras e conversas com discentes do curso, independentemente do período acadêmico em que se encontra, para informar quanto ao programa de educação tutorial e gerar conhecimento, para quando edital do programa for publicado, este seja procurado por quem tem interesse após saber mais do programa. .",GDT-4 Alternativas de Expansão dos Grupos PET,Grupos PET,Não indicado,Não indicado,Encaminhamento,Suprimido,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
98,"Elaboração de um projeto junto às IES, com um edital para implantar novos grupos de educação tutorial, estes sendo interdisciplinares (que contém discentes de mais de um curso de graduação) ou não, sendo estes financiados pela própria Instituição, com isso é necessário um levantamento de cursos, realizado pelo Comitê Local de Acompanhamento e Avaliação – CLAA, que não possuem acesso ao Programa e esta demanda será encaminhada para as reitorias de cada Instituição.",GDT-4 Alternativas de Expansão dos Grupos PET,CLAA,IES,Não indicado,Encaminhamento,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
99,"A extensão do PET necessita ser mais intensificada, de modo que suas ações de extensão sejam mais expandidas com a comunidade acadêmica e local.",GDT-4 Alternativas de Expansão dos Grupos PET,Grupos PET,Não indicado,Não indicado,Encaminhamento,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
100,"Cada grupo PET faça o levantamento sobre a sua colaboração para a sociedade, para assim informar aos demais Grupos PET sobre seu trabalho. Para quando elaborar novos editais para formação grupos, estes tenham justificativa.",GDT-4 Alternativas de Expansão dos Grupos PET,Grupos PET,IES,Não indicado,Encaminhamento,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
101,Reunião com tutores e/ou membros das Pró Reitorias de alguma universidade que possua grupos institucionais para conhecer melhor como foram criados e a sua atuação dentro e fora da instituição.,GDT-4 Alternativas de Expansão dos Grupos PET,Tutores e/ou membros das Pró Reitorias,IES com grupos institucionais,Não indicado,Encaminhamento,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
102,A CENAPET procure apoio de entidades do poder Legislativo para abertura de novos editais.,GDT-4 Alternativas de Expansão dos Grupos PET,CENAPET,Entidades do Poder Legislativo,Não indicado,Sugestão,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
103,"O VII NORTEPET organize por meio da criação de uma Comissão dos Grupos PET da Região Norte integrado por PETianos (as) Tutores (as) e Discentes, com composição igualitária entre Tutores e Discentes, representantes de cada IES para estabelecer por meio de planejamento atividades de Mobilização no âmbito da região Norte.",GDT-5 - Mobilização e Visibilidade para o Programa de Educação Tutorial,Comissão organizadora de eventos PET,Não indicado,Não indicado,Encaminhamento,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
104,"Que a Comissão dos Grupos PET da Região Norte, em cada região reúna relatórios das atividades, feitas pelos PETs de cada IES, até o final do ano, com o propósito de demonstrar que o PET continua trabalhando apesar da pandemia.",GDT-5 - Mobilização e Visibilidade para o Programa de Educação Tutorial,Comissão organizadora de eventos PET,Não se aplica,Até o fim do ano,Encaminhamento,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
105,"Que todos os PETs presentes em suas respectivas Universidades tenham mais comunicação entre si e com a própria Instituição (de forma mais direta, sem tanta burocracia e mais sensibilidade).",GDT-5 - Mobilização e Visibilidade para o Programa de Educação Tutorial,Grupos PET,Dentro de cada IES,Não indicado,Encaminhamento,Aprovado,"","",NORTEPET,Programa de Educação Tutorial como vetor de transformação regional,2020,Agosto
